轮数,主队,客队,主队积分,客队积分,主队排名,客队排名,威廉希尔1,威廉希尔2,威廉希尔3,威廉希尔4,威廉希尔5,威廉希尔6,立博1,立博2,立博3,立博4,立博5,立博6,澳门1,澳门2,澳门3,澳门4,澳门5,澳门6,盘,主队得分,客队得分
20,上海申花,长春亚泰,23,22,9,10,1.7,3.8,4.2,1.7,3.8,4.2,1.67,3.75,4.4,1.67,3.8,4.2,0.820↑,半球/一球,0.880↓,0.8,半球/一球,0.9,赢,1,1
20,苏  宁,河南建业,17,19,13,12,1.8,3.5,4,1.67,3.75,4.5,1.73,3.4,4.33,1.83,3.4,3.8,0.740↓,半球x降,0.960↑,0.9,半球/一球,0.8,输,2,2
20,恒  大,天津亿利,41,15,1,15,1.22,6,9.5,1.22,6,9.5,1.22,5.75,12,1.25,5.5,11,0.760↓,球半/两球,0.940↑,0.92,球半/两球,0.78,赢,3,0
20,河北华夏,延边富德,29,10,7,16,1.2,6,11,1.2,6,11,1.2,6,13,1.22,5.5,12,0.860↑,球半/两球,0.840↓,0.78,球半/两球,0.92,赢,3,0
20,贵州智诚,重庆力帆,21,27,11,8,2.1,3.4,3.1,2,3.4,3.4,2.1,3.25,3.1,2.05,3.25,3.3,0.740↓,平手/半球,0.960↑,0.78,平手/半球,0.92,赢,1,0
20,北京国安,山东鲁能,31,34,5,4,2,3.3,3.5,2,3.3,3.5,2,3.2,3.5,1.87,3.4,3.7,0.900↓,半球,0.800↑,0.94,半球,0.76,输,2,2
20,广州富力,辽宁开新,30,16,7,14,1.33,5,7,1.5,4.4,5,1.3,5.2,7.5,1.53,4,5,0.980↓,一球/球半x降,0.720↑,1.02,球半/两球,0.68,赢,4,1
20,上  港,天津权健,40,35,2,4,1.53,4.2,5,1.53,4.2,5,1.57,3.9,4.8,1.5,4.2,5.25,0.740↑,一球x升,0.960↓,0.6,半球/一球,1.1,输,0,0
21,延边富德,天津亿利,10,15,16,15,3.1,3.3,2.15,3.75,3.3,1.91,4.8,3.5,1.67,3.7,3.4,1.87,0.94,受半球,0.76,0.94,受半球,0.76,赢,3,1
21,上海申花,贵州智诚,24,24,9,10,1.75,3.75,4,1.75,3.75,4,1.67,3.7,4.33,1.8,3.6,3.75,1.050↑,半球/一球,0.650↓,0.82,半球/一球,0.88,输,0,3
21,重庆力帆,山东鲁能,27,35,8,4,3.25,3.4,2.05,3,3.4,2.15,3.1,3.3,2.05,2.8,3.3,2.25,0.800↓,受平手/半球,0.900↑,0.96,受平手/半球,0.74,赢,1,0
21,河南建业,长春亚泰,20,23,12,11,2,3.2,3.6,2.25,3.2,3,2.1,3.1,3.3,2.3,3.1,2.9,0.860↑,平手/半球,0.840↓,0.7,平手/半球,1,输,0,2
21,广州富力,苏  宁,33,18,5,13,1.95,3.75,3.25,1.91,3.8,3.3,1.95,3.5,3.3,1.85,3.5,3.6,0.880↓,半球,0.820↑,0.9,半球,0.8,赢,4,2
21,辽宁开新,恒  大,16,44,14,1,6,4.8,1.4,11,6,1.2,7,4.6,1.36,11,6,1.2,0.900↓,受两球x降,0.800↑,0.96,受一球/球半,0.74,输,0,3
21,天津权健,北京国安,36,32,4,7,2,3.4,3.4,2.2,3.3,3,2.05,3.3,3.25,2.25,3.2,2.9,0.860↑,平手/半球,0.840↓,0.72,平手/半球,0.98,输半,2,2
